TeamName,Leads,Trainees
Water,zitianqin|FlyingChilli04,ohgodimlemon|Dylanwhooooo|TODO,
Fighting,BrandanDoesCode|TODO|TODO,sheensandhu|ziyadash|patrickkT|louisdiep
Dark,ashtherz|dzl-i,mingxuan0710|TODO
Steel,TODO|Sooveeone,carlswoon|BonyTui|TODO
Psychic,xela6134|TODO,0randa|haystacc|TODO
Ghost,STBAccuracy|WilliamMillet,Scrasms|152gabey|TODO
Grass,MerryRosalie|madhueyy,Meczox|justinz27|Kreepkk
Fairy,TODO|TODO,audwyy|TODO|TODO
Dragon,Yalilix|AndyAtmadja03S,Nguyen-PIE|trentonla|markf001
Ice,tetnaylin|BobHell0,fox-58|bi-blib|TODO
Fire,bengodw|cosykid,Hoang-DangUNSW|kittymaru|TODO
